Category,QuestionNo,Question,Choices,Answer,Advice
ジャンル,問題番号,問題内容,選択肢,解答・解説,アドバイス
正誤,1,"X、Y、Zが同じ絵を見てて、次のように発言した。

X　この絵には虎が描かれている。

Y　この絵には少なくとも虎か龍が描かれている。

Z　この絵には龍が描かれている。

全員が本当のことを言っているとは限らない。そこで、以下の推論がなされた。次のうち正しいものを一つ選びなさい。","A. Yが正しければXは必ず正しい
B. Zが正しければYは必ず正しい
C. Xが正しければZは必ず正しい","答え：B

Yが正しいとしても、虎が入っていることは分からないため、Xは必ずしも正しくない。

Zが正しいとき、少なくとも龍は入っているため、Yは正しい。

Xが正しいとしても、龍が入っていることは分からないため、Zは必ずしも正しくない。","非言語の推論の問題は情報を整理する力が求められます。推論の中でも正誤を判断するような問題では、各条件から読み取れる情報の範囲について考えることが重要です。
例えばこの問題において、Xは虎、Zは龍が描かれていることを断言していますが、もう一方が描かれているのかについては読み取れません。一方Yは「少なくとも虎か龍が描かれている」と述べていますが、そのどちらが描かれているのか、もしくはその両方が描かれているのかについては読み取れません。
このように各条件から読み取れる情報の範囲を整理することを意識して解いてみましょう。"
正誤,2,"教室の電気がつけっぱなしであったため、先生がX、Y、Zの3人の生徒に話を聞いた。

教室にいたX、Y、Zから次のような発言があった。

X　私が最初に教室から出た。

Y　私が部屋を出たとき、Xはもう教室を出ていた。

Z　私が教室から出たとき、XもYもまだ教室にいた。

全員が本当に正しいことを言っているとは限らない。そこで、以下の推論がなされた。次のうち正しいものを一つ選びなさい。","A. Xが正しければYは必ず正しい。
B. Yが正しければ、Zは必ず正しい。
C. Zが正しければ、Xは必ず正しい。","答え：A

Xが正しいとすると、 YよりはXが先に出ていたことがわかるので、Yは正しい。

Yが正しいとしても、Zが出た順番はわからないので、Zは必ずしも正しいとは限らない。

Zが正しいとすると、Xは最初に教室を出ていないことになるので、Xは正しくない。","""教室の電気がつけっぱなしであったため、先生がX、Y、Zの3人の生徒に話を聞いた。

教室にいたX、Y、Zから次のような発言があった。

X　私が最初に教室から出た。

Y　私が部屋を出たとき、Xはもう教室を出ていた。

Z　私が教室から出たとき、XもYもまだ教室にいた。

全員が本当に正しいことを言っているとは限らない。そこで、以下の推論がなされた。次のうち正しいものを一つ選びなさい。""	""A. Xが正しければYは必ず正しい。
B. Yが正しければ、Zは必ず正しい。
C. Zが正しければ、Xは必ず正しい。"""
正誤,3,"T君は野球を観戦しに来た。野球の球団GとHが試合をし、6回後半が終了した時点でHが２点リードしたところまで観て、急用のため帰った。後日、同じ試合を最後まで観ていたP、Q、Rから情報を聞いた。
P　Gは7回以降に5得点した。

Q　Gは試合に勝った。

R　Gは7回以降に3得点以上した。

全員が本当のことを言っているとは限らない。そこで、以下の推論がなされた。次のうち正しいものを一つ選びなさい。","A. Pが正しければQは必ず正しい。
B. Qが正しければRは必ず正しい。
C. Rが正しければPは必ず正しい。","答え：B

Pが正しいとしても、Hが7回以降に7得点以上している場合Gは勝てないので、Qは必ずしも正しくない。

Qが正しいとき、7回以降ではGはHよりも3得点以上差をつけているので、Rは必ず正しい。

Rが正しいとしても、Gが7回以降ちょうど5得点をしているとは限らないので、Pは必ずしも正しくない。","非言語の推論の問題は情報を整理する力が求められます。このように得点と勝敗に関して様々なパターンが考えられる問題では、選択肢が成り立たない反例を見つけて、消去法で考えることが効率的です。
例えば選択肢Aについて考えてみると、「Gが7回以降に5得点した、かつGが負けた」パターン、すなわち「Gが5点取ってがHが8点取った」がといった状況が反例に当たります。同様にして選択肢Cも反例を見つけることができるので、残った選択肢Bが解答だと推測できます。このように反例を見つけることで素早く問題を解くことが出来るでしょう。"
正誤,4,"ある水槽には何匹かの魚が入っていた。それを見た3人が次のように発言している。

X　赤い魚と青い魚が合計で５匹以上入っていた。

Y　赤い魚は少なくとも４匹入っていた。

Z　赤い魚と青い魚が入っていて、青い魚は赤い魚のちょうど４倍入っていた。

全員が本当のことを言っているとは限らない。そこで、以下の推論がなされた。次のうち正しいものを一つ選びなさい。","A. Xが正しければYは必ず正しい。
B. Yが正しければ、Zは必ず正しい。
C. Zが正しければ、Xは必ず正しい。","答え：C

Xが正しいとしても、赤い魚が４匹入っているかは不明であるので、Yは必ずしも正しくない。

Yが正しいとしても、青い魚の数は不明であるので、Zは必ずしも正しくない。

Zが正しいとき、赤い魚は少なくとも１匹入っていて、青い魚はそれに対応して４匹以上入っている。したがって、合計５匹以上は入っているのでXは必ず正しい。","非言語の推論の問題は情報を整理する力が求められます。このように魚の組み合わせについて様々なパターンが考えられる問題では、選択肢が成り立たない反例を見つけて、消去法で考えることが効率的です。
例えば選択肢Aについて考えてみると、「赤い魚と青い魚が合計で５匹以上入っていた、かつ赤い魚が4匹未満である」パターン、すなわち「赤い魚が3匹、青い魚が3匹」といった状況が反例に当たります。同様にして選択肢Ｂも反例を見つけることができるので、残った選択肢Cが解答だと推測できます。
このように反例を見つけることで素早く問題を解くことが出来るでしょう。"
整数,5,"P、Q、Rはそれぞれボールを持っていて、次のことがわかっている。

Ⅰ　3人合わせて8個のボールを持っている。

Ⅱ　PとQは同じ個数のボールを持っている。

Ⅲ　RはPの2倍のボールを持っている。

このとき、Rは何個のボールを持っているか。","A. 1
B. 2
C. 4
D. 5
E. 6","答え：C

Ⅱ、Ⅲの情報から、P=xとおくと、Q=x 、R=2xとなる。

さらにⅠの情報よりボールの個数の総和が8個だから、x + x +2x = 8 より、x=2であり、Rの持っている個数は4個。","非言語の推論の問題は情報を整理する力が求められます。このような数値の比と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。基準となる数値は、他の数値をxで表したときの係数が整数になるように選ぶと良いです。
例えばこの問題では、Pの持っているボールの個数を基準として、x個とおきましょう。するとQとRのボールの個数もxで表せるので、3人のボールの合計もxで表すことができます。あとは、3人のボールの合計が8個であることから、xの値がわかります。このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
整数,6,"P、Q、Rが交代で合計で11時間のバイトを行う。どの時間も被りはないものとして、次のことが分かっている。

Ⅰ　3人とも1時間単位で働いた。

Ⅱ　PとQは同じ時間だけ働いた。

Ⅲ　RはPよりも2時間多く働いた。

このとき、Rは何時間働いたか。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：D

Ⅱ、Ⅲの情報から、P=xとおくと、Q=x 、R=x+2となる。

さらにⅠの情報より時間の総和が11時間であるため、x + x +x +2 = 11 より、x=3であり、Rの働いた時間は5時間。","非言語の推論の問題は情報を整理する力が求められます。このような数値の差と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。基準となる数値は、他の数値をxで表したときの係数が整数になるように選ぶと良いです。
例えばこの問題では、Pの働いた時間を基準として、x時間とおきましょう。するとQとRの働いた時間もxで表せるので、3人の働いた時間の合計もxで表すことができます。あとは、3人の労働時間の合計が11時間であることから、xの値がわかります。
このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
整数,7,"P、Q、R、Sの4人兄弟がいた。4人の年齢に関して次のことが分かっている。

Ⅰ　4人合わせて15歳である。

Ⅱ　PとQは同じ年齢である。

Ⅲ　RはPよりも3歳年上である。

Sが6歳であるとき、Rは何歳であるか。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：D

Ⅱ、Ⅲの情報から、P=xとおくと、Q=x 、R=x+3となる。

さらにⅠの情報より年数の和は15で、Sは6歳だから、x + x +x + 3 = 15-6 より、x=2であり、Rは5歳。","非言語の推論の問題は情報を整理する力が求められます。このような数値の差と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。基準となる数値は、他の数値をxで表したときの係数が整数になるように選ぶと良いです。
例えばこの問題では、Pの年齢を基準として、x歳とおきましょう。するとQとRの年齢もxで表せるので、3人の年齢の合計もxで表すことができます。あとは、3人の年齢の合計が9歳であることから、xの値がわかります。
このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
整数,8,"ある高校の学生180人の英語の成績について、以下のことがわかっている。

Ⅰ　70点以上80点未満の男子学生は60人いる。

Ⅱ　80点以上の学生は5人いる。

Ⅲ　70点未満の学生は110人いる。

70点以上80点未満の女子学生は何人いるか。","A. 5
B. 10
C. 15
D. 20
E. 25","答え：A

Ⅱ、Ⅲの情報から、70点以上80点未満の学生は180-5 -110 = 65人いる。

さらにⅠの情報より、そのうち男子学生は60人だから、女子学生は65-60 = 5人。","非言語の推論の問題は情報を整理する力が求められます。このような合計の中から内訳を求める問題では、最初に全体を構成している内訳の種類を全て確認しましょう。全体の内訳を把握するために図を書くのも良いでしょう。
例えばこの問題では、70点未満の学生、70点以上80点未満の学生、80点以上の学生という３つの点数別の層が全体を構成しています。そのうち70点以上80点未満の学生に関しては男女別に考えています。求めたいのは70点以上80点未満の女子学生の人数なので、それ以外のグループの人数を全体から引けば求めることができます。
このように全体の内訳を確認することで、求めたい数値を導くための方針が明確を明確にできるでしょう。"
整数,9,"ある高校の学生の視力について、以下のことがわかっている。

Ⅰ　視力が1.2以上学生は6人いる。

Ⅱ　視力が0.3未満の学生は100人いる。

Ⅲ　視力が0.3以上の学生が70人以下である。

視力が1.2未満の学生は最も多くて何人か。","A. 16
B. 74
C. 104
D. 144
E. 164","答え：E

視力が0.3以上1.2未満の学生は最も多くて70 – 6 =64人である。

よって、0.3未満の学生の数と合わせると64 + 100 = 164人","非言語の推論の問題は情報を整理する力が求められます。このような内訳を求める問題では、最初に全体を構成している内訳の種類を全て確認しましょう。全体の内訳を把握するために図を書くのも良いでしょう。
例えばこの問題では、視力が0.3未満、0.3以上1.2未満、1.2以上という３つの視力別の層が全体を構成しています。求めたいのは視力が1.2未満の学生の人数なので、視力が0.3未満と0.3以上1.2未満の2つのグループの人数の和から求めることができます。このように全体の内訳を確認することで、求めたい数値を導くための方針を明確にできるでしょう。"
